Date: 20.2.2020 , In use by: Mena
Daytime: 11:49:15, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:49:23
158, 1732833.00, 9711082.00, 8536307.00,25, 16317
159, 1732740.00, 9711042.00, 8536232.00,25, 16421
160, 1732640.00, 9710913.00, 8536488.00,25, 16526
161, 1732555.00, 9710794.00, 8536545.00,25, 16630
162, 1732529.00, 9710719.00, 8536551.00,25, 16735
163, 1732509.00, 9710650.00, 8536342.00,25, 16840
164, 1732544.00, 9710595.00, 8536600.00,25, 16944
165, 1732513.00, 9710536.00, 8536611.00,25, 17049
166, 1732449.00, 9710521.00, 8536420.00,25, 17153
167, 1732460.00, 9710532.00, 8536614.00,25, 17258
168, 1732485.00, 9710445.00, 8536264.00,25, 17363
169, 1732423.00, 9710436.00, 8536528.00,25, 17467
170, 1732343.00, 9710386.00, 8536456.00,25, 17572
171, 1732277.00, 9710264.00, 8536516.00,25, 17676
172, 1732239.00, 9710237.00, 8536610.00,25, 17781
173, 1732157.00, 9710333.00, 8536716.00,25, 17886
174, 1732037.00, 9710276.00, 8536789.00,25, 17990
175, 1731895.00, 9710163.00, 8536513.00,25, 18095
176, 1731743.00, 9710087.00, 8536463.00,25, 18199
177, 1731736.00, 9710014.00, 8536629.00,25, 18304
178, 1731637.00, 9709897.00, 8536631.00,25, 18409
179, 1731555.00, 9709834.00, 8536556.00,25, 18513
180, 1731509.00, 9709878.00, 8536651.00,25, 18618
181, 1731480.00, 9709847.00, 8536568.00,25, 18722
182, 1731479.00, 9709690.00, 8536335.00,25, 18827
183, 1731438.00, 9709650.00, 8536415.00,25, 18931
184, 1731492.00, 9709679.00, 8536560.00,25, 19036
185, 1731473.00, 9709612.00, 8536463.00,25, 19141
186, 1731404.00, 9709504.00, 8536443.00,25, 19245
187, 1731364.00, 9709488.00, 8536524.00,25, 19350
188, 1731323.00, 9709405.00, 8536548.00,25, 19454
189, 1731244.00, 9709407.00, 8536827.00,25, 19559
190, 1731160.00, 9709417.00, 8536706.00,25, 19664
191, 1731113.00, 9709412.00, 8536739.00,25, 19768
192, 1730998.00, 9709277.00, 8536401.00,25, 19873
193, 1730870.00, 9709179.00, 8536155.00,25, 19977
194, 1730798.00, 9709090.00, 8536276.00,25, 20082
195, 1730666.00, 9709044.00, 8536337.00,25, 20187
196, 1730614.00, 9709069.00, 8536306.00,25, 20291
197, 1730581.00, 9709049.00, 8536387.00,25, 20396
198, 1730535.00, 9709002.00, 8536571.00,25, 20500
199, 1730516.00, 9708964.00, 8536703.00,25, 20605
200, 1730487.00, 9708909.00, 8536391.00,25, 20709
201, 1730454.00, 9708826.00, 8536513.00,25, 20814
202, 1730441.00, 9708820.00, 8536522.00,25, 20919
203, 1730470.00, 9708800.00, 8536241.00,25, 21023
204, 1730458.00, 9708732.00, 8536278.00,25, 21128
205, 1730422.00, 9708636.00, 8536247.00,25, 21232
206, 1730404.00, 9708582.00, 8536304.00,25, 21337
207, 1730382.00, 9708529.00, 8536327.00,25, 21442
208, 1730267.00, 9708498.00, 8536404.00,25, 21546
209, 1730152.00, 9708418.00, 8536325.00,25, 21651
210, 1730122.00, 9708369.00, 8536287.00,25, 21755
211, 1730025.00, 9708312.00, 8536428.00,25, 21860
212, 1729922.00, 9708265.00, 8536486.00,25, 21965
213, 1729803.00, 9708269.00, 8536405.00,25, 22069
214, 1729718.00, 9708256.00, 8536320.00,25, 22174
215, 1729579.00, 9708222.00, 8536374.00,25, 22278
216, 1729521.00, 9708216.00, 8536296.00,25, 22383
217, 1729527.00, 9708146.00, 8536405.00,25, 22488
218, 1729469.00, 9708143.00, 8536508.00,25, 22592
219, 1729476.00, 9708006.00, 8536480.00,25, 22697
220, 1729528.00, 9707939.00, 8536280.00,25, 22801
221, 1729474.00, 9707916.00, 8536390.00,25, 22906
222, 1729483.00, 9707937.00, 8536601.00,25, 23010
223, 1729451.00, 9707896.00, 8536360.00,25, 23115
224, 1729410.00, 9707774.00, 8536468.00,25, 23220
225, 1729401.00, 9707708.00, 8536450.00,25, 23324
226, 1729320.00, 9707592.00, 8536351.00,25, 23429
227, 1729223.00, 9707623.00, 8536505.00,25, 23533
228, 1729135.00, 9707550.00, 8536370.00,25, 23638
229, 1728970.00, 9707460.00, 8536430.00,25, 23743
230, 1728832.00, 9707509.00, 8536534.00,25, 23847
231, 1728745.00, 9707528.00, 8536262.00,25, 23952
232, 1728667.00, 9707364.00, 8536357.00,25, 24056
233, 1728608.00, 9707326.00, 8536456.00,25, 24161
234, 1728534.00, 9707350.00, 8536412.00,25, 24266
235, 1728497.00, 9707414.00, 8536323.00,25, 24370
236, 1728467.00, 9707387.00, 8536090.00,25, 24475
237, 1728364.00, 9707311.00, 8536200.00,25, 24579
238, 1728337.00, 9707216.00, 8536564.00,25, 24684
239, 1728338.00, 9707277.00, 8536374.00,25, 24789
240, 1728331.00, 9707170.00, 8536356.00,25, 24893
241, 1728309.00, 9707121.00, 8536443.00,25, 24998
242, 1728291.00, 9707117.00, 8536445.00,25, 25102
243, 1728314.00, 9706960.00, 8536530.00,25, 25207
244, 1728268.00, 9706834.00, 8536486.00,25, 25311
245, 1728205.00, 9706831.00, 8536391.00,25, 25416
246, 1728066.00, 9706753.00, 8536258.00,25, 25521
247, 1727964.00, 9706599.00, 8536301.00,25, 25625
248, 1727879.00, 9706609.00, 8536305.00,25, 25730
249, 1727803.00, 9706570.00, 8536362.00,25, 25834
250, 1727708.00, 9706574.00, 8536509.00,25, 25939
251, 1727630.00, 9706600.00, 8536468.00,25, 26044
252, 1727502.00, 9706562.00, 8536503.00,25, 26148
253, 1727447.00, 9706569.00, 8536431.00,25, 26253
254, 1727411.00, 9706569.00, 8536251.00,25, 26357
255, 1727368.00, 9706565.00, 8536160.00,25, 26462
256, 1727278.00, 9706415.00, 8536279.00,25, 26567
257, 1727345.00, 9706373.00, 8536094.00,25, 26671
258, 1727422.00, 9706364.00, 8536525.00,25, 26776
259, 1727424.00, 9706301.00, 8536422.00,25, 26880
260, 1727409.00, 9706223.00, 8536367.00,25, 26985
261, 1727330.00, 9706122.00, 8536457.00,25, 27089
262, 1727271.00, 9706104.00, 8536388.00,25, 27194
263, 1727277.00, 9706019.00, 8536310.00,25, 27299
264, 1727177.00, 9706009.00, 8536217.00,25, 27403
265, 1727083.00, 9705983.00, 8536088.00,25, 27508
266, 1726976.00, 9705898.00, 8535909.00,25, 27612
267, 1726883.00, 9705935.00, 8536315.00,25, 27717
268, 1726806.00, 9706002.00, 8536474.00,25, 27822
269, 1726675.00, 9706031.00, 8536432.00,25, 27926
270, 1726591.00, 9706003.00, 8536280.00,25, 28031
271, 1726528.00, 9705952.00, 8536519.00,25, 28135
272, 1726463.00, 9705911.00, 8536403.00,25, 28240
273, 1726382.00, 9705899.00, 8536447.00,25, 28344
274, 1726399.00, 9705750.00, 8536305.00,25, 28449
275, 1726379.00, 9705651.00, 8536344.00,25, 28554
276, 1726352.00, 9705646.00, 8536436.00,25, 28658
277, 1726296.00, 9705582.00, 8536525.00,25, 28763
278, 1726328.00, 9705455.00, 8536629.00,25, 28867
279, 1726321.00, 9705302.00, 8536651.00,25, 28972
280, 1726199.00, 9705408.00, 8536611.00,25, 29077
281, 1725961.00, 9705505.00, 8536454.00,25, 29181
282, 1725840.00, 9705467.00, 8536405.00,25, 29286
283, 1725772.00, 9705504.00, 8536382.00,25, 29390
284, 1725744.00, 9705479.00, 8536327.00,25, 29495
285, 1725664.00, 9705433.00, 8536407.00,25, 29600
286, 1725567.00, 9705438.00, 8536450.00,25, 29704
287, 1725519.00, 9705484.00, 8536654.00,25, 29809
288, 1725378.00, 9705444.00, 8536642.00,25, 29913
289, 1725265.00, 9705399.00, 8536459.00,25, 30018
290, 1725204.00, 9705398.00, 8536584.00,25, 30123
291, 1725166.00, 9705333.00, 8536313.00,25, 30227
292, 1725116.00, 9705313.00, 8536261.00,25, 30332
293, 1725136.00, 9705225.00, 8536625.00,25, 30436
294, 1725143.00, 9705178.00, 8536487.00,25, 30541
295, 1725138.00, 9705098.00, 8536235.00,25, 30646
296, 1725170.00, 9704878.00, 8536418.00,25, 30750
297, 1725127.00, 9704789.00, 8536408.00,25, 30855
298, 1725087.00, 9704752.00, 8536303.00,25, 30959
299, 1725021.00, 9704729.00, 8536390.00,25, 31064
300, 1724985.00, 9704739.00, 8536352.00,25, 31169
301, 1724906.00, 9704753.00, 8536293.00,25, 31273
302, 1724845.00, 9704681.00, 8536406.00,25, 31378
303, 1724782.00, 9704706.00, 8536407.00,25, 31482
304, 1724656.00, 9704724.00, 8536368.00,25, 31587
305, 1724513.00, 9704685.00, 8536474.00,25, 31691
306, 1724474.00, 9704667.00, 8536486.00,25, 31796
307, 1724434.00, 9704679.00, 8536458.00,25, 31901
308, 1724339.00, 9704645.00, 8536400.00,25, 32005
309, 1724262.00, 9704619.00, 8536467.00,25, 32110
310, 1724260.00, 9704554.00, 8536520.00,25, 32214
311, 1724306.00, 9704512.00, 8536354.00,25, 32319
312, 1724294.00, 9704333.00, 8536431.00,25, 32424
313, 1724273.00, 9704321.00, 8536368.00,25, 32528
314, 1724242.00, 9704219.00, 8536622.00,25, 32633
315, 1724279.00, 9704141.00, 8536519.00,25, 32737
316, 1724210.00, 9704103.00, 8536363.00,25, 32842
317, 1724172.00, 9704056.00, 8536341.00,25, 32947
318, 1724135.00, 9704065.00, 8536471.00,25, 33051
319, 1724048.00, 9704061.00, 8536460.00,25, 33156
320, 1723945.00, 9704064.00, 8536312.00,25, 33260
321, 1723901.00, 9704112.00, 8536356.00,25, 33365
322, 1723774.00, 9704179.00, 8536574.00,25, 33470
323, 1723426.00, 9704285.00, 8537407.00,25, 33574
324, 1723114.00, 9704499.00, 8538163.00,25, 33679
325, 1722756.00, 9704711.00, 8538365.00,25, 33783
326, 1722182.00, 9705009.00, 8538764.00,25, 33888
327, 1721537.00, 9705351.00, 8539775.00,25, 33993
328, 1721052.00, 9706044.00, 8541613.00,25, 34097
329, 1720415.00, 9706432.00, 8541190.00,25, 34202
330, 1720149.00, 9706300.00, 8538882.00,25, 34306
