time,chan1,chan2,chan3
2019-10-11 13:04:41.776293,8619704.0,8389119.0,7030664.0
2019-10-11 13:04:41.872711,8619677.0,8389119.0,7030730.0
2019-10-11 13:04:41.963739,8619683.0,8388863.0,7030846.0
2019-10-11 13:04:42.055055,8619691.0,8389119.0,7030886.0
2019-10-11 13:04:42.151012,8619660.0,8389119.0,7031045.0
2019-10-11 13:04:42.244269,8619702.0,8388863.0,7031192.0
2019-10-11 13:04:42.337063,8619781.0,8388863.0,7031129.0
2019-10-11 13:04:42.431871,8619764.0,8389119.0,7031087.0
2019-10-11 13:04:42.520776,8619741.0,8389119.0,7031169.0
2019-10-11 13:04:42.618660,8619549.0,8388863.0,7031066.0
2019-10-11 13:04:42.710457,8619589.0,8389119.0,7031094.0
2019-10-11 13:04:42.804587,8619626.0,8388863.0,7031254.0
2019-10-11 13:04:42.898087,8619625.0,8389119.0,7031211.0
2019-10-11 13:04:42.994775,8619747.0,8389119.0,7031208.0
2019-10-11 13:04:43.086803,8619781.0,8388863.0,7031322.0
2019-10-11 13:04:43.179202,8619687.0,8389119.0,7031328.0
2019-10-11 13:04:43.274352,8619759.0,8389119.0,7031312.0
2019-10-11 13:04:43.368405,8619780.0,8388863.0,7031218.0
2019-10-11 13:04:43.459987,8619768.0,8388863.0,7031334.0
2019-10-11 13:04:43.555406,8619685.0,8389119.0,7031473.0
2019-10-11 13:04:43.647807,8619846.0,8388863.0,7031529.0
2019-10-11 13:04:43.738535,8619785.0,8388863.0,7031492.0
2019-10-11 13:04:43.834878,8619682.0,8389119.0,7031551.0
2019-10-11 13:04:43.926210,8619726.0,8389119.0,7031563.0
2019-10-11 13:04:44.022337,8619778.0,8388863.0,7031482.0
2019-10-11 13:04:44.116902,8619785.0,8389119.0,7031545.0
2019-10-11 13:04:44.209419,8619709.0,8389119.0,7031522.0
2019-10-11 13:04:44.303531,8619732.0,8388863.0,7031671.0
2019-10-11 13:04:44.396227,8619768.0,8389119.0,7031802.0
2019-10-11 13:04:44.487495,8619712.0,8389119.0,7031771.0
2019-10-11 13:04:44.581581,8619684.0,8389119.0,7031779.0
2019-10-11 13:04:44.675241,8619642.0,8389119.0,7031769.0
2019-10-11 13:04:44.770485,8619595.0,8389119.0,7031846.0
2019-10-11 13:04:44.865894,8619711.0,8389119.0,7031924.0
2019-10-11 13:04:44.956528,8619749.0,8388863.0,7031857.0
2019-10-11 13:04:45.048209,8619647.0,8389119.0,7031935.0
2019-10-11 13:04:45.144169,8619610.0,8389119.0,7031901.0
2019-10-11 13:04:45.237231,8619701.0,8388863.0,7031821.0
2019-10-11 13:04:45.334064,8619712.0,8389119.0,7031941.0
2019-10-11 13:04:45.424636,8619731.0,8388863.0,7032070.0
2019-10-11 13:04:45.515598,8619682.0,8388863.0,7032168.0
2019-10-11 13:04:45.612929,8619655.0,8389119.0,7032263.0
2019-10-11 13:04:45.704291,8619716.0,8389119.0,7032343.0
2019-10-11 13:04:45.801136,8619638.0,8388863.0,7032436.0
2019-10-11 13:04:45.892298,8619618.0,8389119.0,7032363.0
2019-10-11 13:04:45.985903,8619620.0,8388863.0,7032335.0
2019-10-11 13:04:46.082147,8619757.0,8388863.0,7032298.0
2019-10-11 13:04:46.172368,8619727.0,8389119.0,7032328.0
2019-10-11 13:04:46.265156,8619687.0,8389119.0,7032394.0
