Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
130, 1874453.00, 8881815.00, 8535485.00,26, 13376
131, 1874455.00, 8881778.00, 8535311.00,26, 13480
132, 1874508.00, 8881736.00, 8535128.00,26, 13585
133, 1874493.00, 8881708.00, 8535193.00,26, 13689
134, 1874495.00, 8881690.00, 8535225.00,26, 13794
135, 1874500.00, 8881702.00, 8535287.00,26, 13898
136, 1874474.00, 8881654.00, 8535313.00,26, 14003
137, 1874456.00, 8881537.00, 8535288.00,26, 14107
138, 1874390.00, 8881575.00, 8535146.00,26, 14212
139, 1874383.00, 8881615.00, 8535190.00,26, 14316
140, 1874417.00, 8881641.00, 8535158.00,26, 14421
141, 1874367.00, 8881689.00, 8535060.00,26, 14525
142, 1874303.00, 8881830.00, 8535105.00,26, 14630
143, 1874300.00, 8881804.00, 8535284.00,26, 14734
144, 1874394.00, 8881736.00, 8535126.00,26, 14839
145, 1874408.00, 8881581.00, 8535284.00,26, 14943
146, 1874365.00, 8881602.00, 8535384.00,26, 15048
147, 1874344.00, 8881621.00, 8535253.00,26, 15152
148, 1874296.00, 8881538.00, 8535282.00,26, 15257
149, 1874337.00, 8881505.00, 8535269.00,26, 15361
150, 1874281.00, 8881480.00, 8535370.00,26, 15466
151, 1874227.00, 8881507.00, 8535049.00,26, 15570
152, 1874198.00, 8881557.00, 8535210.00,26, 15675
153, 1874183.00, 8881538.00, 8535382.00,26, 15779
154, 1874229.00, 8881509.00, 8535080.00,26, 15884
155, 1874198.00, 8881524.00, 8535138.00,26, 15988
156, 1874154.00, 8881515.00, 8535138.00,26, 16093
157, 1874137.00, 8881514.00, 8535154.00,26, 16197
158, 1874103.00, 8881504.00, 8535116.00,26, 16302
159, 1874037.00, 8881516.00, 8535353.00,26, 16406
160, 1874033.00, 8881545.00, 8535291.00,26, 16511
161, 1874039.00, 8881476.00, 8535089.00,26, 16615
162, 1874065.00, 8881433.00, 8535200.00,26, 16720
163, 1874035.00, 8881440.00, 8535182.00,26, 16824
164, 1874062.00, 8881420.00, 8535265.00,26, 16929
165, 1874083.00, 8881397.00, 8535341.00,26, 17033
166, 1874053.00, 8881441.00, 8535309.00,26, 17138
167, 1874078.00, 8881429.00, 8535329.00,26, 17242
168, 1874079.00, 8881385.00, 8535195.00,26, 17347
169, 1874029.00, 8881407.00, 8535213.00,26, 17451
170, 1874016.00, 8881387.00, 8535125.00,26, 17556
171, 1873980.00, 8881358.00, 8535094.00,26, 17660
172, 1873996.00, 8881390.00, 8535208.00,26, 17765
173, 1873980.00, 8881399.00, 8535087.00,26, 17869
174, 1873933.00, 8881442.00, 8535074.00,26, 17974
175, 1873954.00, 8881441.00, 8535056.00,26, 18078
176, 1873966.00, 8881440.00, 8535302.00,26, 18183
177, 1873913.00, 8881395.00, 8535221.00,26, 18287
178, 1873913.00, 8881381.00, 8535073.00,26, 18392
179, 1873901.00, 8881391.00, 8535347.00,26, 18496
180, 1873851.00, 8881412.00, 8535102.00,26, 18601
181, 1873836.00, 8881439.00, 8535161.00,26, 18705
182, 1873813.00, 8881472.00, 8535146.00,26, 18810
183, 1873819.00, 8881441.00, 8535133.00,26, 18914
184, 1873788.00, 8881421.00, 8535326.00,26, 19019
185, 1873794.00, 8881460.00, 8535342.00,26, 19123
186, 1873798.00, 8881505.00, 8535189.00,26, 19228
187, 1873814.00, 8881524.00, 8535226.00,26, 19332
188, 1873792.00, 8881462.00, 8535233.00,26, 19437
189, 1873831.00, 8881436.00, 8535191.00,26, 19541
190, 1873714.00, 8881616.00, 8535227.00,26, 19646
191, 1873594.00, 8881831.00, 8535426.00,26, 19750
192, 1873577.00, 8881966.00, 8535475.00,26, 19855
193, 1873565.00, 8882043.00, 8535352.00,26, 19959
194, 1873557.00, 8881996.00, 8535322.00,26, 20064
195, 1873561.00, 8881932.00, 8535430.00,26, 20168
196, 1873545.00, 8881886.00, 8535177.00,26, 20273
197, 1873592.00, 8881794.00, 8535187.00,26, 20377
198, 1873623.00, 8881768.00, 8535073.00,26, 20482
199, 1873612.00, 8881695.00, 8535003.00,26, 20586
200, 1873572.00, 8881576.00, 8535296.00,26, 20691
201, 1873551.00, 8881590.00, 8535222.00,26, 20795
202, 1873557.00, 8881591.00, 8535146.00,26, 20900
203, 1873574.00, 8881556.00, 8535233.00,26, 21004
204, 1873524.00, 8881518.00, 8535139.00,26, 21109
205, 1873525.00, 8881564.00, 8535133.00,26, 21213
206, 1873502.00, 8881527.00, 8535001.00,26, 21318
207, 1873467.00, 8881501.00, 8535275.00,26, 21422
208, 1873451.00, 8881524.00, 8535278.00,26, 21527
209, 1873408.00, 8881543.00, 8535408.00,26, 21631
210, 1873426.00, 8881581.00, 8535358.00,26, 21736
211, 1873436.00, 8881578.00, 8535212.00,26, 21840
212, 1873422.00, 8881530.00, 8535347.00,26, 21945
213, 1873428.00, 8881561.00, 8535100.00,26, 22049
214, 1873368.00, 8881513.00, 8535378.00,26, 22153
215, 1873345.00, 8881444.00, 8535457.00,26, 22258
216, 1873408.00, 8881396.00, 8535369.00,26, 22362
217, 1873356.00, 8881426.00, 8535257.00,26, 22467
218, 1873319.00, 8881431.00, 8535318.00,26, 22571
