Date: 20.2.2020 , In use by: Mena
Daytime: 11:21:7, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:21:20
252, 1632067.00, 9774181.00, 8580657.00,25, 26147
253, 1631708.00, 9774098.00, 8580644.00,25, 26252
254, 1631216.00, 9774144.00, 8580678.00,25, 26357
255, 1630679.00, 9774311.00, 8580720.00,25, 26461
256, 1630428.00, 9774395.00, 8580786.00,25, 26566
257, 1630393.00, 9774341.00, 8580684.00,25, 26670
258, 1630458.00, 9774282.00, 8580544.00,25, 26775
259, 1630384.00, 9774337.00, 8580535.00,25, 26880
260, 1630250.00, 9774417.00, 8580720.00,25, 26984
261, 1630031.00, 9774580.00, 8580735.00,25, 27089
262, 1629692.00, 9774797.00, 8580762.00,25, 27193
263, 1629443.00, 9775110.00, 8580788.00,25, 27298
264, 1629167.00, 9775519.00, 8580790.00,25, 27403
265, 1628962.00, 9775582.00, 8580684.00,25, 27507
266, 1628848.00, 9775519.00, 8580649.00,25, 27612
267, 1628765.00, 9775388.00, 8580745.00,25, 27716
268, 1628727.00, 9775178.00, 8580695.00,25, 27821
269, 1628716.00, 9774954.00, 8580619.00,25, 27926
270, 1628645.00, 9774799.00, 8580750.00,25, 28030
271, 1628416.00, 9774615.00, 8580820.00,25, 28135
272, 1628049.00, 9774577.00, 8580667.00,25, 28239
273, 1627675.00, 9774711.00, 8580653.00,25, 28344
274, 1627396.00, 9774789.00, 8580619.00,25, 28449
275, 1627312.00, 9774722.00, 8580637.00,25, 28553
276, 1627274.00, 9774690.00, 8580680.00,25, 28658
277, 1627307.00, 9774746.00, 8580695.00,25, 28762
278, 1627260.00, 9774833.00, 8580648.00,25, 28867
279, 1627044.00, 9774959.00, 8580659.00,25, 28972
280, 1626855.00, 9775381.00, 8580673.00,25, 29076
281, 1626638.00, 9775662.00, 8580744.00,25, 29181
282, 1626402.00, 9775786.00, 8580611.00,25, 29285
283, 1626242.00, 9775761.00, 8580602.00,25, 29390
284, 1626120.00, 9775722.00, 8580603.00,25, 29495
285, 1626023.00, 9775606.00, 8580696.00,25, 29599
