Date: 28.2.2020 , In use by: Mena
Daytime: 15:29:51, Temperature: 20°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:29:52
199, 0.00, 5846046.00, 7397404.00, 18, 20388
200, 0.00, 5849106.00, 7396652.00, 18, 20492
201, 0.00, 5851928.00, 7395843.00, 18, 20595
202, 0.00, 5855113.00, 7395266.00, 18, 20699
203, 0.00, 5857849.00, 7394235.00, 18, 20802
204, 0.00, 5860531.00, 7393631.00, 18, 20906
205, 0.00, 5863039.00, 7393273.00, 18, 21009
206, 0.00, 5864818.00, 7392408.00, 18, 21113
207, 0.00, 5866501.00, 7391675.00, 18, 21216
208, 0.00, 5868659.00, 7391381.00, 18, 21320
209, 0.00, 5870135.00, 7390767.00, 18, 21423
210, 0.00, 5871614.00, 7389966.00, 18, 21527
211, 0.00, 5873196.00, 7389565.00, 18, 21630
212, 0.00, 5873962.00, 7389157.00, 18, 21734
213, 0.00, 5875081.00, 7388954.00, 18, 21837
214, 0.00, 5876711.00, 7388592.00, 18, 21941
215, 0.00, 5879446.00, 7388553.00, 18, 22044
216, 0.00, 5880393.00, 7388180.00, 18, 22148
217, 0.00, 5881803.00, 7387753.00, 18, 22251
218, 0.00, 5883471.00, 7387576.00, 18, 22355
219, 0.00, 5884592.00, 7387100.00, 18, 22458
220, 0.00, 5886061.00, 7386979.00, 18, 22562
221, 0.00, 5886941.00, 7386651.00, 18, 22665
222, 0.00, 5887183.00, 7385266.00, 18, 22769
223, 0.00, 5887084.00, 7384950.00, 18, 22873
224, 0.00, 5887412.00, 7385037.00, 18, 22976
225, 0.00, 5887915.00, 7384871.00, 18, 23080
226, 0.00, 5888346.00, 7384440.00, 18, 23183
227, 0.00, 5888546.00, 7384165.00, 18, 23287
228, 0.00, 5889121.00, 7384106.00, 18, 23390
229, 0.00, 5890198.00, 7383877.00, 18, 23494
230, 0.00, 5891018.00, 7383855.00, 18, 23597
231, 0.00, 5891907.00, 7383810.00, 18, 23701
232, 0.00, 5892286.00, 7383627.00, 18, 23804
233, 0.00, 5893024.00, 7383619.00, 18, 23908
234, 0.00, 5894016.00, 7383872.00, 18, 24011
235, 0.00, 5894470.00, 7384050.00, 18, 24115
236, 0.00, 5894325.00, 7384069.00, 18, 24218
237, 0.00, 5894218.00, 7384164.00, 18, 24322
238, 0.00, 5894536.00, 7384270.00, 18, 24425
239, 0.00, 5894367.00, 7384745.00, 18, 24529
240, 0.00, 5892635.00, 7385116.00, 18, 24632
241, 0.00, 5891691.00, 7385333.00, 18, 24736
242, 0.00, 5891909.00, 7385518.00, 18, 24839
243, 0.00, 5892320.00, 7385742.00, 18, 24943
244, 0.00, 5892564.00, 7386018.00, 18, 25046
245, 0.00, 5892481.00, 7386137.00, 18, 25150
246, 0.00, 5892724.00, 7386242.00, 18, 25253
247, 0.00, 5893192.00, 7386604.00, 18, 25357
248, 0.00, 5893593.00, 7387029.00, 18, 25460
249, 0.00, 5893853.00, 7387441.00, 18, 25564
250, 0.00, 5893302.00, 7387860.00, 18, 25667
251, 0.00, 5893276.00, 7388267.00, 18, 25771
252, 0.00, 5893659.00, 7388501.00, 18, 25874
253, 0.00, 5893352.00, 7388960.00, 18, 25978
254, 0.00, 5893043.00, 7389337.00, 18, 26082
255, 0.00, 5893034.00, 7389723.00, 18, 26185
256, 0.00, 5893063.00, 7390240.00, 18, 26289
257, 0.00, 5893108.00, 7390810.00, 18, 26392
258, 0.00, 5892427.00, 7391285.00, 18, 26496
259, 0.00, 5892295.00, 7392361.00, 18, 26599
260, 0.00, 5892339.00, 7393154.00, 18, 26703
261, 0.00, 5892131.00, 7393859.00, 18, 26806
262, 0.00, 5891503.00, 7394652.00, 18, 26910
263, 0.00, 5890831.00, 7395157.00, 18, 27013
264, 0.00, 5891060.00, 7395527.00, 18, 27117
265, 0.00, 5890569.00, 7396307.00, 18, 27220
266, 0.00, 5890673.00, 7397020.00, 18, 27324
267, 0.00, 5890555.00, 7397614.00, 18, 27427
268, 0.00, 5889965.00, 7398450.00, 18, 27531
269, 0.00, 5888878.00, 7399290.00, 18, 27634
270, 0.00, 5888460.00, 7400159.00, 18, 27738
271, 0.00, 5887901.00, 7400967.00, 18, 27841
272, 0.00, 5887108.00, 7402882.00, 18, 27945
273, 0.00, 5885866.00, 7403948.00, 18, 28048
274, 0.00, 5885234.00, 7404750.00, 18, 28152
275, 0.00, 5884881.00, 7405644.00, 18, 28255
276, 0.00, 5884386.00, 7406735.00, 18, 28359
277, 0.00, 5883180.00, 7407748.00, 18, 28462
278, 0.00, 5881955.00, 7408823.00, 18, 28566
279, 0.00, 5881594.00, 7409670.00, 18, 28669
280, 0.00, 5881094.00, 7410463.00, 18, 28773
281, 0.00, 5880377.00, 7411411.00, 18, 28876
282, 0.00, 5879854.00, 7412315.00, 18, 28980
283, 0.00, 5879530.00, 7413110.00, 18, 29083
284, 0.00, 5879102.00, 7415233.00, 18, 29187
285, 0.00, 5878251.00, 7416319.00, 18, 29290
286, 0.00, 5877703.00, 7417240.00, 18, 29394
287, 0.00, 5877330.00, 7418254.00, 18, 29498
288, 0.00, 5876739.00, 7419243.00, 18, 29601
289, 0.00, 5876222.00, 7420331.00, 18, 29705
290, 0.00, 5873959.00, 7421381.00, 18, 29808
291, 0.00, 5873325.00, 7422399.00, 18, 29912
292, 0.00, 5872751.00, 7423335.00, 18, 30015
293, 0.00, 5871676.00, 7424428.00, 18, 30119
294, 0.00, 5870781.00, 7425616.00, 18, 30222
295, 0.00, 5870549.00, 7426737.00, 18, 30326
296, 0.00, 5869966.00, 7428917.00, 18, 30429
297, 0.00, 5869677.00, 7430040.00, 18, 30533
298, 0.00, 5869240.00, 7431337.00, 18, 30636
299, 0.00, 5868293.00, 7432553.00, 18, 30740
300, 0.00, 5866840.00, 7433819.00, 18, 30843
301, 0.00, 5866121.00, 7434627.00, 18, 30947
302, 0.00, 5865508.00, 7435438.00, 18, 31050
303, 0.00, 5865010.00, 7436485.00, 18, 31154
304, 0.00, 5864702.00, 7437365.00, 18, 31257
305, 0.00, 5864032.00, 7438317.00, 18, 31361
306, 0.00, 5863017.00, 7439427.00, 18, 31464
307, 0.00, 5862868.00, 7440193.00, 18, 31568
308, 0.00, 5862409.00, 7440975.00, 18, 31671
309, 0.00, 5862298.00, 7442743.00, 18, 31775
310, 0.00, 5862452.00, 7443552.00, 18, 31878
311, 0.00, 5862497.00, 7444406.00, 18, 31982
312, 0.00, 5862408.00, 7445255.00, 18, 32085
313, 0.00, 5861493.00, 7446309.00, 18, 32189
314, 0.00, 5860718.00, 7447089.00, 18, 32293
315, 0.00, 5859865.00, 7447591.00, 18, 32396
316, 0.00, 5859667.00, 7448366.00, 18, 32500
317, 0.00, 5859245.00, 7448936.00, 18, 32603
318, 0.00, 5858631.00, 7449560.00, 18, 32707
319, 0.00, 5858449.00, 7450236.00, 18, 32810
320, 0.00, 5858205.00, 7450950.00, 18, 32914
321, 0.00, 5857923.00, 7452646.00, 18, 33017
322, 0.00, 5857578.00, 7453433.00, 18, 33121
323, 0.00, 5856285.00, 7454176.00, 18, 33224
324, 0.00, 5855523.00, 7455035.00, 18, 33328
325, 0.00, 5855429.00, 7455637.00, 18, 33431
326, 0.00, 5854724.00, 7456164.00, 18, 33535
327, 0.00, 5854441.00, 7456834.00, 18, 33638
328, 0.00, 5854548.00, 7457495.00, 18, 33742
329, 0.00, 5854323.00, 7458281.00, 18, 33845
330, 0.00, 5854099.00, 7459010.00, 18, 33949
331, 0.00, 5853992.00, 7459736.00, 18, 34052
332, 0.00, 5853586.00, 7460448.00, 18, 34156
333, 0.00, 5852256.00, 7461711.00, 18, 34259
334, 0.00, 5851527.00, 7462453.00, 18, 34363
335, 0.00, 5851702.00, 7462857.00, 18, 34466
336, 0.00, 5851422.00, 7463174.00, 18, 34570
337, 0.00, 5850706.00, 7463816.00, 18, 34674
338, 0.00, 5850659.00, 7464436.00, 18, 34777
339, 0.00, 5850946.00, 7464855.00, 18, 34881
340, 0.00, 5850535.00, 7465335.00, 18, 34984
341, 0.00, 5850410.00, 7465979.00, 18, 35088
342, 0.00, 5850512.00, 7466629.00, 18, 35191
343, 0.00, 5850399.00, 7467151.00, 18, 35295
