time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10
2019-12-20 16:35:32.962531,8332574.0,8387936.0,5602346.0,8377896.0,7502799.0,7686660.0,8400433.0,9257438.0,8902625.0,7886556.0
2019-12-20 16:35:33.077698,8317384.0,8387588.0,5154383.0,8380911.0,7361534.0,7738662.0,8400125.0,9266990.0,8910353.0,7883606.0
2019-12-20 16:35:33.187350,8328451.0,8383861.0,0.0,8352005.0,7276026.0,7741365.0,8400121.0,9269413.0,8913407.0,7883563.0
2019-12-20 16:35:33.298515,8322909.0,8382765.0,0.0,8351167.0,7778790.0,7739720.0,8400298.0,9268469.0,8912989.0,7883934.0
2019-12-20 16:35:33.412788,8328942.0,8389154.0,3760754.0,8370469.0,7835300.0,7738508.0,8400557.0,9267588.0,8912477.0,7884088.0
2019-12-20 16:35:33.528148,8341966.0,8390489.0,7166308.0,8388825.0,7101461.0,7737149.0,8400339.0,9266511.0,8910843.0,7884299.0
2019-12-20 16:35:33.642817,8368305.0,8385546.0,6495616.0,8383732.0,7732722.0,7733505.0,8400236.0,9264499.0,8909981.0,7884785.0
2019-12-20 16:35:33.757352,8303917.0,8253666.0,1073320.0,8324726.0,6360660.0,7757993.0,8400283.0,9267808.0,8919313.0,7883357.0
2019-12-20 16:35:33.867791,8068937.0,8095016.0,0.0,8288343.0,6039986.0,7805556.0,8400200.0,9300532.0,8935409.0,7877038.0
2019-12-20 16:35:33.978760,7879279.0,7116387.0,0.0,7988883.0,7609873.0,7801744.0,8400448.0,9299128.0,8936269.0,7877264.0
2019-12-20 16:35:34.084886,8367721.0,7426687.0,0.0,7893426.0,7528782.0,7801765.0,8400715.0,9303749.0,8937547.0,7876860.0
2019-12-20 16:35:34.199394,8316222.0,8288623.0,987471.0,8344017.0,7672921.0,7803476.0,8400380.0,9304419.0,8937499.0,7877003.0
2019-12-20 16:35:34.310396,8307860.0,8384435.0,0.0,8376079.0,7117503.0,7804205.0,8400277.0,9305133.0,8937386.0,7876633.0
2019-12-20 16:35:34.420469,8315313.0,8367688.0,0.0,8363817.0,6861398.0,7804705.0,8400114.0,9305664.0,8937423.0,7876251.0
2019-12-20 16:35:34.527576,8168977.0,8061294.0,0.0,8099021.0,6849633.0,7805382.0,8400200.0,9306992.0,8937538.0,7875930.0
2019-12-20 16:35:34.637723,7502820.0,3373469.0,0.0,7185739.0,6670163.0,7806784.0,8400439.0,9309778.0,8937523.0,7875476.0
2019-12-20 16:35:34.748752,6954749.0,3923911.0,0.0,6684575.0,7726261.0,7807511.0,8400607.0,9310878.0,8937171.0,7875479.0
2019-12-20 16:35:34.854470,7807917.0,5880580.0,0.0,7415184.0,7576662.0,7807566.0,8400825.0,9311001.0,8936967.0,7875401.0
2019-12-20 16:35:34.973731,8215164.0,7947047.0,1743077.0,8231915.0,7543429.0,7807737.0,8400816.0,9311448.0,8936857.0,7875269.0
2019-12-20 16:35:35.088560,8309747.0,8379935.0,3123191.0,8379640.0,7586604.0,7808016.0,8400302.0,9311351.0,8936799.0,7875232.0
2019-12-20 16:35:35.202885,8325605.0,8382736.0,1206134.0,8357854.0,7606768.0,7808175.0,8400363.0,9311311.0,8936629.0,7875164.0
2019-12-20 16:35:35.317940,8275476.0,8393741.0,4483323.0,8382123.0,8461575.0,7808223.0,8400476.0,9311394.0,8936508.0,7875030.0
2019-12-20 16:35:35.432674,7595557.0,8489973.0,4715039.0,8410947.0,8463423.0,7808419.0,8401778.0,9312824.0,8936242.0,7874790.0
2019-12-20 16:35:35.550758,6783565.0,8613369.0,3913406.0,8456575.0,8472161.0,7809551.0,8398707.0,9313580.0,8935622.0,7874386.0
2019-12-20 16:35:35.665830,6948028.0,8622822.0,4253075.0,8460965.0,8475878.0,7809630.0,8398368.0,9313677.0,8935956.0,7874294.0
2019-12-20 16:35:35.780030,7216812.0,8567829.0,4916573.0,8459038.0,8480100.0,7809543.0,8398677.0,9313297.0,8936369.0,7874442.0
2019-12-20 16:35:35.895510,7372587.0,8547183.0,5329920.0,8453124.0,8471905.0,7809373.0,8398941.0,9313170.0,8936711.0,7874502.0
2019-12-20 16:35:36.010234,7358061.0,8556504.0,4856744.0,8456405.0,8473969.0,7809388.0,8399386.0,9313183.0,8936827.0,7874502.0
2019-12-20 16:35:36.128696,7083266.0,8588459.0,4648723.0,8460884.0,8479235.0,7809621.0,8398961.0,9313148.0,8937102.0,7874457.0
2019-12-20 16:35:36.243585,7292949.0,8552903.0,5062701.0,8458994.0,8478783.0,7809496.0,8398800.0,9312805.0,8937416.0,7874569.0
2019-12-20 16:35:36.358263,7338680.0,8557300.0,5471011.0,8455864.0,8481467.0,7809480.0,8399327.0,9312786.0,8937920.0,7874741.0
2019-12-20 16:35:36.473016,7296303.0,8554998.0,5541695.0,8454978.0,8478137.0,7809406.0,8398966.0,9312751.0,8938202.0,7874879.0
2019-12-20 16:35:36.587334,7637201.0,8529588.0,6089846.0,8449347.0,8488071.0,7809169.0,8399069.0,9312607.0,8938553.0,7874988.0
2019-12-20 16:35:36.706245,7716288.0,8504326.0,6382876.0,8445416.0,8477749.0,7808936.0,8399185.0,9312249.0,8938706.0,7875097.0
2019-12-20 16:35:36.820417,7651790.0,8510995.0,6389804.0,8444548.0,8479183.0,7808866.0,8399161.0,9312199.0,8939009.0,7875210.0
